"","Pluto.borough","Pluto.zipcode"
"1","MN",10027
"2","BK",11214
"3","BK",11220
"4","BK",11230
"5","MN",10075
"6","QN",11360
"7","BX",10454
"8","BK",11221
"9","BK",11207
"10","BK",11209
"11","BK",11219
"12","QN",11417
"13","BK",11211
"14","BX",10466
"15","BK",11205
"16","QN",11103
"17","BX",10457
"18","BK",11215
"19","BK",11237
"20","QN",11105
"21","QN",11385
"22","QN",11692
"23","SI",10307
"24","SI",10305
"25","SI",10309
"26","QN",11416
"27","SI",10310
"28","SI",10314
"29","QN",11413
"30","BX",10453
"31","BX",10458
"32","BK",11233
"33","BX",10463
"34","BK",11217
"35","QN",11368
"36","QN",11414
"37","QN",11419
"38","QN",11412
"39","QN",11422
"40","BX",10460
"41","BK",11234
"42","BK",11218
"43","BK",11235
"44","SI",10312
"45","BK",11204
"46","BX",10461
"47","QN",11365
"48","BX",10475
"49","SI",10301
"50","QN",11357
"51","BK",11210
"52","QN",11004
"53","BX",10462
"54","SI",10304
"55","QN",11369
"56","QN",11358
"57","BK",11206
"58","SI",10306
"59","SI",10303
"60","BK",11229
"61","QN",11378
"62","QN",11694
"63","BK",11236
"64","QN",11104
"65","BK",11212
"66","BK",11203
"67","BK",11222
"68","BX",10465
"69","QN",11436
"70","BK",11225
"71","QN",11375
"72","BX",10472
"73","QN",11102
"74","BK",11228
"75","QN",11363
"76","QN",11434
"77","BK",11208
"78","BX",NA
"79","QN",11433
"80","QN",11421
"81","QN",11435
"82","QN",11377
"83","SI",10302
"84","BK",11232
"85","QN",11423
"86","QN",11429
"87","MN",10022
"88","QN",11432
"89","QN",11420
"90","QN",11374
"91","QN",11354
"92","BX",10474
"93","BX",10455
"94","BX",10456
"95","QN",11356
"96","BX",10464
"97","MN",10025
"98","BX",10467
"99","BK",11224
"100","BX",10469
"101","QN",11106
"102","MN",10014
"103","BX",10473
"104","BK",11216
"105","QN",11428
"106","QN",11427
"107","QN",11415
"108","QN",11373
"109","QN",11361
"110","QN",11426
"111","BK",11226
"112","MN",10030
"113","MN",10032
"114","MN",10033
"115","BX",10459
"116","BK",11249
"117","MN",10002
"118","MN",10016
"119","MN",10034
"120","QN",11370
"121","BK",11223
"122","QN",11355
"123","BK",11238
"124","QN",11101
"125","BK",11231
"126","QN",11411
"127","MN",10011
"128","BK",11239
"129","QN",11001
"130","QN",11379
"131","QN",11418
"132","BK",NA
"133","BX",10451
"134","QN",11691
"135","MN",10023
"136","MN",10026
"137","BX",10452
"138","BX",10471
"139","QN",11364
"140","QN",11362
"141","QN",11366
"142","MN",10037
"143","MN",10021
"144","SI",NA
"145","MN",10038
"146","MN",10009
"147","BX",10468
"148","MN",10065
"149","MN",10001
"150","MN",10018
"151","MN",10024
"152","BX",10470
"153","BK",11213
"154","MN",10035
"155","MN",10019
"156","MN",10031
"157","MN",10028
"158","BK",11201
"159","MN",10128
"160","MN",10029
"161","QN",NA
"162","MN",NA
"163","QN",11430
"164","MN",10004
"165","QN",11372
"166","QN",11693
"167","MN",10003
"168","SI",10308
"169","QN",11697
"170","QN",11367
"171","MN",10036
"172","MN",10010
"173","QN",11040
"174","MN",10044
"175","MN",10012
"176","MN",10040
"177","MN",10013
"178","MN",10463
"179","MN",10039
"180","MN",10007
"181","MN",10017
"182","MN",10006
"183","QN",11208
"184","MN",10280
"185","MN",10282
"186","MN",10155
"187","QN",11005
"188","MN",10151
"189","QN",11695
"190","MN",10281
"191","MN",10005
"192","BK",11414
"193","QN",11109
"194","MN",10020
"195","MN",10069
"196","MN",10103
"197","MN",10170
"198","MN",10121
"199","MN",10123
"200","MN",10120
"201","MN",10118
"202","MN",10158
"203","MN",10106
"204","MN",10169
"205","BK",11416
"206","MN",10278
"207","MN",10055
"208","MN",10165
"209","MN",10175
"210","MN",10176
"211","MN",10122
"212","MN",10105
"213","MN",10119
"214","QN",11096
"215","QN",11359
"216","MN",10045
"217","MN",10110
"218","MN",12345
"219","BK",11241
"220","BX",11370
"221","QN",11451
"222","BK",11251
"223","QN",11371
"224","MN",10152
"225","QN",10469
